timestamp,house_id,building,meter,appliance_category,appliance,mains_power,appliance_power,data_quality_flag
2023-01-01T00:00:00+01:00,UKDALE_house_4,bldg_4,meter_4,fridge,freezer,1696.537294943021,48.213049182132245,good
2023-01-01T00:01:00+00:00,UKDALE_house_5,bldg_5,meter_4,other,washing_machine,1479.7145699458054,1606.7590820783614,good
2023-01-01T00:02:00+01:00,UKDALE_house_3,bldg_3,meter_5,lighting,lighting,1338.1027379198804,189.9070910257624,good
2023-01-01T00:03:00+00:00,UKDALE_house_5,bldg_5,meter_8,other,dishwasher,661.3346987537092,1390.2008186610922,good
2023-01-01T00:04:00+01:00,UKDALE_house_5,bldg_5,meter_5,other,computer,54.9453684831731,59.458616427172274,good
2023-01-01T00:05:00+00:00,UKDALE_house_2,bldg_2,meter_8,other,dishwasher,476.5001045130017,,gap
2023-01-01T00:06:00+01:00,UKDALE_house_3,bldg_3,meter_1,other,dishwasher,336.8118014892132,711.6763471280389,good
2023-01-01T00:07:00+00:00,UKDALE_house_3,bldg_3,meter_9,fridge,fridge,1150.2576252768195,47.2074444013071,good
2023-01-01T00:08:00+01:00,UKDALE_house_3,bldg_3,meter_6,fridge,freezer,1550.0324693665193,32.20633705819167,good
2023-01-01T00:09:00+00:00,UKDALE_house_5,bldg_5,meter_3,lighting,lighting,572.05827127778,103.53200409281084,good
2023-01-01T00:10:00+01:00,UKDALE_house_4,bldg_4,meter_8,fridge,freezer,2350.6898851196083,143.1674276888366,good
2023-01-01T00:11:00+00:00,UKDALE_house_3,bldg_3,meter_9,other,computer,66.37121659852505,616.684256079255,good
2023-01-01T00:12:00+01:00,UKDALE_house_5,bldg_5,meter_6,fridge,freezer,1942.13748715509,109.33688141144358,good
2023-01-01T00:13:00+00:00,UKDALE_house_2,bldg_2,meter_7,water,unspecified_water_meter,1581.7516853495836,0.0,good
2023-01-01T00:14:00+01:00,UKDALE_house_4,bldg_4,meter_1,other,kettle,965.2092625668207,,gap
2023-01-01T00:15:00+00:00,UKDALE_house_2,bldg_2,meter_5,other,dishwasher,173.69791381039943,489.3901814140436,good
2023-01-01T00:16:00+01:00,UKDALE_house_4,bldg_4,meter_5,fridge,fridge,1587.3421008714845,108.05102985886371,good
2023-01-01T00:17:00+00:00,UKDALE_house_5,bldg_5,meter_4,other,dishwasher,994.7531065208377,421.5844550020597,good
