timestamp,house_id,building,meter,appliance_category,appliance,mains_power,appliance_power,data_quality_flag
2023-06-01T00:00:00Z,IAWE_house_2,bldg_iawe_2,meter_iawe,fridge,fridge,180.73,112.02,good
2023-06-01T00:01:00Z,IAWE_house_2,bldg_iawe_2,meter_iawe,air_conditioner_2,air_conditioner,2148.14,1878.99,good
2023-06-01T00:02:00Z,IAWE_house_2,bldg_iawe_2,meter_iawe,fridge,fridge,194.67,95.79,good
2023-06-01T00:03:00Z,IAWE_house_1,bldg_iawe_1,meter_iawe,other,other,652.19,418.31,good
2023-06-01T00:04:00Z,IAWE_house_2,bldg_iawe_2,meter_iawe,other,other,669.37,542.75,good
2023-06-01T00:05:00Z,IAWE_house_2,bldg_iawe_2,meter_iawe,fridge,fridge,326.69,130.25,good
2023-06-01T00:06:00Z,IAWE_house_2,bldg_iawe_2,meter_iawe,air_conditioner_1,air_conditioner,444.78,0.0,good
2023-06-01T00:07:00Z,IAWE_house_2,bldg_iawe_2,meter_iawe,air_conditioner_2,air_conditioner,143.88,0.0,good
2023-06-01T00:08:00Z,IAWE_house_2,bldg_iawe_2,meter_iawe,air_conditioner_2,air_conditioner,1663.66,1238.42,good
2023-06-01T00:09:00Z,IAWE_house_2,bldg_iawe_2,meter_iawe,lighting,lighting,163.32,0.0,good
2023-06-01T00:10:00Z,IAWE_house_2,bldg_iawe_2,meter_iawe,other,other,779.5,610.16,good
2023-06-01T00:11:00Z,IAWE_house_1,bldg_iawe_1,meter_iawe,fridge,fridge,108.69,5.0,good
2023-06-01T00:12:00Z,IAWE_house_1,bldg_iawe_1,meter_iawe,fridge,fridge,252.02,89.75,good
2023-06-01T00:13:00Z,IAWE_house_2,bldg_iawe_2,meter_iawe,air_conditioner_1,air_conditioner,185.65,0.0,good
2023-06-01T00:14:00Z,IAWE_house_1,bldg_iawe_1,meter_iawe,air_conditioner_2,air_conditioner,2162.69,1957.69,good
2023-06-01T00:15:00Z,IAWE_house_2,bldg_iawe_2,meter_iawe,fridge,fridge,291.6,131.71,good
2023-06-01T00:16:00Z,IAWE_house_1,bldg_iawe_1,meter_iawe,fridge,fridge,207.48,147.28,good
2023-06-01T00:17:00Z,IAWE_house_1,bldg_iawe_1,meter_iawe,air_conditioner_1,air_conditioner,2438.27,2190.73,good
2023-06-01T00:18:00Z,IAWE_house_1,bldg_iawe_1,meter_iawe,lighting,lighting,188.74,0.0,good
2023-06-01T00:19:00Z,IAWE_house_1,bldg_iawe_1,meter_iawe,air_conditioner_2,air_conditioner,1502.33,1252.74,good
2023-06-01T00:20:00Z,IAWE_house_2,bldg_iawe_2,meter_iawe,fridge,fridge,262.28,102.96,good
2023-06-01T00:21:00Z,IAWE_house_1,bldg_iawe_1,meter_iawe,fridge,fridge,189.48,5.0,good
2023-06-01T00:22:00Z,IAWE_house_2,bldg_iawe_2,meter_iawe,fridge,fridge,77.04,5.0,good
2023-06-01T00:23:00Z,IAWE_house_1,bldg_iawe_1,meter_iawe,lighting,lighting,351.07,57.25,good
2023-06-01T00:24:00Z,IAWE_house_2,bldg_iawe_2,meter_iawe,fridge,fridge,273.46,97.86,good
2023-06-01T00:25:00Z,IAWE_house_2,bldg_iawe_2,meter_iawe,other,other,921.33,614.84,good
2023-06-01T00:26:00Z,IAWE_house_2,bldg_iawe_2,meter_iawe,air_conditioner_2,air_conditioner,2262.62,2132.82,good
2023-06-01T00:27:00Z,IAWE_house_1,bldg_iawe_1,meter_iawe,air_conditioner_2,air_conditioner,212.94,0.0,good
2023-06-01T00:28:00Z,IAWE_house_1,bldg_iawe_1,meter_iawe,air_conditioner_2,air_conditioner,1991.57,1580.73,good
2023-06-01T00:29:00Z,IAWE_house_2,bldg_iawe_2,meter_iawe,fridge,fridge,257.14,125.2,good
2023-06-01T00:30:00Z,IAWE_house_2,bldg_iawe_2,meter_iawe,other,other,523.1,380.46,good
2023-06-01T00:31:00Z,IAWE_house_2,bldg_iawe_2,meter_iawe,air_conditioner_1,air_conditioner,2123.01,1862.31,good
2023-06-01T00:32:00Z,IAWE_house_2,bldg_iawe_2,meter_iawe,other,other,335.93,152.25,good
2023-06-01T00:33:00Z,IAWE_house_1,bldg_iawe_1,meter_iawe,air_conditioner_1,air_conditioner,2199.07,1869.87,good
2023-06-01T00:34:00Z,IAWE_house_1,bldg_iawe_1,meter_iawe,fridge,fridge,128.24,5.0,good
2023-06-01T00:35:00Z,IAWE_house_1,bldg_iawe_1,meter_iawe,fridge,fridge,61.0,5.0,good
2023-06-01T00:36:00Z,IAWE_house_2,bldg_iawe_2,meter_iawe,air_conditioner_1,air_conditioner,313.74,0.0,good
2023-06-01T00:37:00Z,IAWE_house_2,bldg_iawe_2,meter_iawe,air_conditioner_1,air_conditioner,2043.21,1736.77,good
2023-06-01T00:38:00Z,IAWE_house_1,bldg_iawe_1,meter_iawe,fridge,fridge,273.11,107.83,good
2023-06-01T00:39:00Z,IAWE_house_1,bldg_iawe_1,meter_iawe,lighting,lighting,240.25,88.27,good
2023-06-01T00:40:00Z,IAWE_house_1,bldg_iawe_1,meter_iawe,air_conditioner_2,air_conditioner,1886.31,1525.77,good
2023-06-01T00:41:00Z,IAWE_house_2,bldg_iawe_2,meter_iawe,air_conditioner_1,air_conditioner,181.61,0.0,good
2023-06-01T00:42:00Z,IAWE_house_2,bldg_iawe_2,meter_iawe,air_conditioner_1,air_conditioner,2067.68,1612.55,good
2023-06-01T00:43:00Z,IAWE_house_2,bldg_iawe_2,meter_iawe,air_conditioner_2,air_conditioner,2487.56,1992.1,good
2023-06-01T00:44:00Z,IAWE_house_1,bldg_iawe_1,meter_iawe,air_conditioner_2,air_conditioner,2442.23,2043.3,good
