house_id,building,meter,appliance,appliance_category,label_source,n_readings,n_ok,n_gap,pct_missing,appliance_power_mean_w,appliance_power_max_w,appliance_power_sum_w,period_start,period_end,pct_time_active,appliance_energy_kwh,pct_of_house_appliance_energy
IAWE_house_1,1,4,air_conditioner_1,hvac,metadata,147607,10846,136761,92.65,1080.27490234375,2051.549072265625,11716662.0,2013-06-07 20:34:00+05:30,2013-09-18 08:40:00+05:30,4.99,195.2777,38.19
IAWE_house_1,1,5,air_conditioner_2,hvac,metadata,141006,9277,131729,93.42,1259.2806396484375,2076.835693359375,11682347.0,2013-06-07 20:35:00+05:30,2013-09-13 18:40:00+05:30,6.32,194.7058,38.08
IAWE_house_1,1,3,fridge,refrigeration,metadata,85953,82326,3627,4.22,59.83428192138672,220.52035522460938,4925917.0,2013-06-07 05:30:00+05:30,2013-08-05 22:02:00+05:30,63.24,82.0986,16.06
IAWE_house_1,1,7,laptop_computer,electronics,metadata,85889,43246,42643,49.65,33.415409088134766,101.05606079101562,1445082.75,2013-06-07 06:34:00+05:30,2013-08-05 22:02:00+05:30,44.98,24.0847,4.71
IAWE_house_1,1,10,television,entertainment,metadata,78194,8510,69684,89.12,73.6028823852539,78.43538665771484,626360.5,2013-06-12 11:56:00+05:30,2013-08-05 19:09:00+05:30,10.88,10.4393,2.04
IAWE_house_1,1,6,washing_machine,laundry,metadata,79528,486,79042,99.39,204.52432250976562,453.0329895019531,99398.8203125,2013-06-10 07:02:00+05:30,2013-08-04 12:29:00+05:30,0.61,1.6566,0.32
IAWE_house_1,1,12,water_motor,water,metadata,52011,47745,4266,8.2,1.48967444896698,4681.0,71124.5078125,2013-05-30 12:51:00+05:30,2013-07-05 15:41:00+05:30,0.66,1.1854,0.23
IAWE_house_1,1,8,clothes_iron,ironing,metadata,83358,181,83177,99.78,312.3370056152344,1054.61865234375,56533.0,2013-06-07 15:07:00+05:30,2013-08-04 12:24:00+05:30,0.13,0.9422,0.18
IAWE_house_1,1,11,water_filter,water,metadata,34975,33790,1185,3.39,0.9159297347068787,55.253143310546875,30949.265625,2013-07-12 15:08:00+05:30,2013-08-05 22:02:00+05:30,1.99,0.5158,0.1
IAWE_house_1,1,9,kitchen_outlets,outlets,metadata,59327,268,59059,99.55,92.85812377929688,1338.8255615234375,24885.9765625,2013-06-24 10:06:00+05:30,2013-08-04 14:52:00+05:30,0.05,0.4148,0.08
