timestamp,house_id,source_dataset,mains_power,appliance_category,appliance_power,native_sample_period,data_quality_flag,building,meter,appliance
2013-06-07 04:53:00+05:30,IAWE_house_1,IAWE,15.641572,ac_hvac,15.641572,1,ok,1,1,air_conditioner
2013-06-27 19:23:00+05:30,IAWE_house_1,IAWE,15.0686,ac_hvac,15.0686,1,ok,1,1,air_conditioner
2013-08-26 15:21:00+05:30,IAWE_house_1,IAWE,,other,,1,gap,1,4,television
2013-06-28 00:16:00+05:30,IAWE_house_1,IAWE,15.045422,other,,1,gap,1,7,microwave
2013-06-26 15:13:00+05:30,IAWE_house_1,IAWE,15.296525,fridge,428.29575,1,ok,1,2,refrigerator
2013-09-09 02:25:00+05:30,IAWE_house_1,IAWE,,other,,1,gap,1,4,television
2013-07-06 05:55:00+05:30,IAWE_house_1,IAWE,1051.9204,other,,1,gap,1,4,television
2013-06-22 23:05:00+05:30,IAWE_house_1,IAWE,,other,,1,gap,1,7,microwave
2013-07-16 11:22:00+05:30,IAWE_house_1,IAWE,15.054347,other,85.44586,1,ok,1,3,laptop_charger
2013-06-21 05:12:00+05:30,IAWE_house_1,IAWE,16.504,other,,1,gap,1,10,computer
2013-06-22 04:52:00+05:30,IAWE_house_1,IAWE,15.22459,other,,1,gap,1,8,fan
2013-08-08 22:25:00+05:30,IAWE_house_1,IAWE,,other,,1,gap,1,4,television
2013-07-08 07:26:00+05:30,IAWE_house_1,IAWE,17.0622,fridge,343.1713,1,ok,1,2,refrigerator
2013-06-28 00:52:00+05:30,IAWE_house_1,IAWE,14.540648,other,,1,gap,1,6,washing_machine
2013-07-19 21:56:00+05:30,IAWE_house_1,IAWE,2007.2714,other,1642.9325,1,ok,1,5,water_purifier
2013-08-04 01:18:00+05:30,IAWE_house_1,IAWE,,other,,1,gap,1,6,washing_machine
2013-07-07 12:01:00+05:30,IAWE_house_1,IAWE,15.218418,ac_hvac,15.218418,1,ok,1,1,air_conditioner
2013-06-21 15:59:00+05:30,IAWE_house_1,IAWE,15.699843,lighting,0.0,1,ok,1,12,lighting
2013-07-29 12:18:00+05:30,IAWE_house_1,IAWE,15.107097,fridge,95.98177,1,ok,1,2,refrigerator
2013-06-21 13:33:00+05:30,IAWE_house_1,IAWE,17.09991,other,100.50447,1,ok,1,3,laptop_charger
2013-06-18 03:48:00+05:30,IAWE_house_1,IAWE,15.370573,other,,1,gap,1,10,computer
2013-07-24 06:51:00+05:30,IAWE_house_1,IAWE,15.095835,other,,1,gap,1,9,geyser
2013-07-04 10:24:00+05:30,IAWE_house_1,IAWE,15.1965,lighting,0.0,1,ok,1,12,lighting
2013-07-08 12:56:00+05:30,IAWE_house_1,IAWE,16.502731,other,71.506935,1,ok,1,7,microwave
2013-08-19 16:40:00+05:30,IAWE_house_1,IAWE,,other,,1,gap,1,5,water_purifier
2013-07-25 20:20:00+05:30,IAWE_house_1,IAWE,15.004255,other,0.0492,1,ok,1,7,microwave
2013-07-12 17:32:00+05:30,IAWE_house_1,IAWE,,other,,1,gap,1,10,computer
2013-07-25 05:19:00+05:30,IAWE_house_1,IAWE,16.053022,other,,1,gap,1,9,geyser
2013-06-24 12:09:00+05:30,IAWE_house_1,IAWE,15.127756,other,,1,gap,1,5,water_purifier
2013-07-26 09:44:00+05:30,IAWE_house_1,IAWE,14.59324,other,,1,gap,1,5,water_purifier
2013-06-20 16:26:00+05:30,IAWE_house_1,IAWE,14.802432,other,0.16274138,1,ok,1,3,laptop_charger
2013-07-29 03:59:00+05:30,IAWE_house_1,IAWE,15.389176,other,,1,gap,1,9,geyser
2013-06-05 02:51:00+05:30,IAWE_house_1,IAWE,48.48869,lighting,0.0,1,ok,1,12,lighting
2013-07-14 08:59:00+05:30,IAWE_house_1,IAWE,15.777702,other,,1,gap,1,9,geyser
2013-06-24 12:01:00+05:30,IAWE_house_1,IAWE,16.701702,ac_hvac,16.701702,1,ok,1,1,air_conditioner
2013-07-30 15:04:00+05:30,IAWE_house_1,IAWE,15.146653,fridge,470.1175,1,ok,1,2,refrigerator
2013-07-06 15:44:00+05:30,IAWE_house_1,IAWE,16.44927,other,,1,gap,1,4,television
2013-07-14 03:25:00+05:30,IAWE_house_1,IAWE,15.651681,other,,1,gap,1,10,computer
2013-06-16 07:55:00+05:30,IAWE_house_1,IAWE,16.517475,other,,1,gap,1,8,fan
2013-06-16 07:34:00+05:30,IAWE_house_1,IAWE,15.325125,ac_hvac,15.325125,1,ok,1,1,air_conditioner
2013-09-09 15:45:00+05:30,IAWE_house_1,IAWE,,other,,1,gap,1,5,water_purifier
2013-07-29 10:30:00+05:30,IAWE_house_1,IAWE,16.466171,other,,1,gap,1,5,water_purifier
2013-08-31 02:48:00+05:30,IAWE_house_1,IAWE,,other,,1,gap,1,5,water_purifier
2013-07-06 09:56:00+05:30,IAWE_house_1,IAWE,15.028125,other,,1,gap,1,10,computer
2013-09-08 23:56:00+05:30,IAWE_house_1,IAWE,,other,,1,gap,1,5,water_purifier
2013-07-13 15:05:00+05:30,IAWE_house_1,IAWE,14.982244,other,,1,gap,1,6,washing_machine
2013-08-04 13:02:00+05:30,IAWE_house_1,IAWE,2157.8552,other,,1,gap,1,5,water_purifier
2013-06-22 12:50:00+05:30,IAWE_house_1,IAWE,16.334946,lighting,0.0,1,ok,1,12,lighting
2013-06-26 07:22:00+05:30,IAWE_house_1,IAWE,15.062076,lighting,0.0,1,ok,1,12,lighting
2013-06-11 01:41:00+05:30,IAWE_house_1,IAWE,,ac_hvac,,1,gap,1,1,air_conditioner
2013-06-27 01:29:00+05:30,IAWE_house_1,IAWE,15.014431,other,,1,gap,1,10,computer
2013-06-10 07:40:00+05:30,IAWE_house_1,IAWE,15.3855715,other,,1,gap,1,8,fan
2013-07-01 14:16:00+05:30,IAWE_house_1,IAWE,15.84541,fridge,558.5121,1,ok,1,2,refrigerator
2013-06-11 02:04:00+05:30,IAWE_house_1,IAWE,,fridge,,1,gap,1,2,refrigerator
2013-05-31 02:42:00+05:30,IAWE_house_1,IAWE,14.792784,lighting,0.0,1,ok,1,12,lighting
2013-06-22 03:47:00+05:30,IAWE_house_1,IAWE,16.755732,fridge,336.39963,1,ok,1,2,refrigerator
2013-08-29 06:52:00+05:30,IAWE_house_1,IAWE,,other,,1,gap,1,4,television
2013-07-28 16:45:00+05:30,IAWE_house_1,IAWE,15.120074,other,,1,gap,1,5,water_purifier
2013-07-02 22:21:00+05:30,IAWE_house_1,IAWE,16.364595,other,,1,gap,1,10,computer
