timestamp,house_id,appliance_category,appliance,mains_power,appliance_power,data_quality_flag
2023-06-01 00:00:00+00:00,IAWE_house_2,fridge,fridge,180.73,112.02,good
2023-06-01 00:01:00+00:00,IAWE_house_2,ac_hvac,air_conditioner,2148.14,1878.99,good
2023-06-01 00:02:00+00:00,IAWE_house_2,fridge,fridge,194.67,95.79,good
2023-06-01 00:03:00+00:00,IAWE_house_1,other,other,652.19,418.31,good
2023-06-01 00:04:00+00:00,IAWE_house_2,other,other,669.37,542.75,good
2023-06-01 00:05:00+00:00,IAWE_house_2,fridge,fridge,326.69,130.25,good
2023-06-01 00:06:00+00:00,IAWE_house_2,ac_hvac,air_conditioner,444.78,0.0,good
2023-06-01 00:07:00+00:00,IAWE_house_2,ac_hvac,air_conditioner,143.88,0.0,good
2023-06-01 00:08:00+00:00,IAWE_house_2,ac_hvac,air_conditioner,1663.66,1238.42,good
2023-06-01 00:09:00+00:00,IAWE_house_2,lighting,lighting,163.32,0.0,good
2023-06-01 00:10:00+00:00,IAWE_house_2,other,other,779.5,610.16,good
2023-06-01 00:11:00+00:00,IAWE_house_1,fridge,fridge,108.69,5.0,good
2023-06-01 00:12:00+00:00,IAWE_house_1,fridge,fridge,252.02,89.75,good
2023-06-01 00:13:00+00:00,IAWE_house_2,ac_hvac,air_conditioner,185.65,0.0,good
2023-06-01 00:14:00+00:00,IAWE_house_1,ac_hvac,air_conditioner,2162.69,1957.69,good
2023-06-01 00:15:00+00:00,IAWE_house_2,fridge,fridge,291.6,131.71,good
2023-06-01 00:16:00+00:00,IAWE_house_1,fridge,fridge,207.48,147.28,good
2023-06-01 00:17:00+00:00,IAWE_house_1,ac_hvac,air_conditioner,2438.27,2190.73,good
2023-06-01 00:18:00+00:00,IAWE_house_1,lighting,lighting,188.74,0.0,good
2023-06-01 00:19:00+00:00,IAWE_house_1,ac_hvac,air_conditioner,1502.33,1252.74,good
2023-06-01 00:20:00+00:00,IAWE_house_2,fridge,fridge,262.28,102.96,good
2023-06-01 00:21:00+00:00,IAWE_house_1,fridge,fridge,189.48,5.0,good
2023-06-01 00:22:00+00:00,IAWE_house_2,fridge,fridge,77.04,5.0,good
2023-06-01 00:23:00+00:00,IAWE_house_1,lighting,lighting,351.07,57.25,good
2023-06-01 00:24:00+00:00,IAWE_house_2,fridge,fridge,273.46,97.86,good
2023-06-01 00:25:00+00:00,IAWE_house_2,other,other,921.33,614.84,good
2023-06-01 00:26:00+00:00,IAWE_house_2,ac_hvac,air_conditioner,2262.62,2132.82,good
2023-06-01 00:27:00+00:00,IAWE_house_1,ac_hvac,air_conditioner,212.94,0.0,good
2023-06-01 00:28:00+00:00,IAWE_house_1,ac_hvac,air_conditioner,1991.57,1580.73,good
2023-06-01 00:29:00+00:00,IAWE_house_2,fridge,fridge,257.14,125.2,good
2023-06-01 00:30:00+00:00,IAWE_house_2,other,other,523.1,380.46,good
